Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C2, C3, C7",0603,6,100nF,C14663
"C10, C12, C17, C20, C21, C8, C9",0603,7,10uF,C77041
"C11, C16",0603,2,22uF,C59461
C4,0603,1,4.7uF,C19666
"C5, C6",0603,2,220pF,C1603
"D1, D2, D3, D4, D5, D6",LED_0603,6,LED,C84268
"FB1, FB2",FB_0603,2,FerriteBead,C394474
J1,SD_Card_Connector,1,SD Card Connector,C5155564
J2,Screw_Terminal_3.5,1,Amplificator_Terminal,C784942
J3,Screw_Terminal_3.5,1,5V_Terminal,C784942
J4,Screw_Terminal_3.5,1,Battery_Terminal,C784942
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
L1,Inductor-0630LR,1,2.2UH,C5189746
"Q1, Q2",SOT-23,2,BC817,C475629
"R1, R10, R17, R2, R21, R3, R4, R5, R9",0603,9,10K,C25804
"R11, R8",0603,2,1M,C22935
"R12, R13, R14, R15",0603,4,0,C21189
R16,0603,1,1R,C25212
"R19, R20",0603,2,1K,C21190
"R6, R7",0603,2,5.11K,C425414
SW1,SW_SPDT,1,SW_SPDT,C319013
"SW2, SW3",SW_SPST,2,SW_SPST,C455280
U1,ESP32-WROOM-32,1,ESP32-WROOM-32-N16,C529581
U2,SM5308,1,SM5308,C5345582
U3,CP2102,1,CP2102-GMR,C6568
U4,MAX98357,1,MAX98357AETE+T,C910544
U5,USB_C_Receptacle,1,USB-TYPE-C-018,C2927038
U6,AMS1117CD-3.3,1,AMS1117CD-3.3,C347222
